2021-07-14 21:14:36,760	974	1528	Scroll	((0, 1))	Mouse
2021-07-14 21:14:36,787	974	1526	Scroll	((0, 1))	Mouse
2021-07-14 21:14:36,896	974	1523	Scroll	((0, -1))	Mouse
2021-07-14 21:14:36,920	974	1523	Scroll	((0, -1))	Mouse
2021-07-14 21:14:36,944	974	1520	Scroll	((0, -1))	Mouse
2021-07-14 21:14:36,964	973	1517	Scroll	((0, -1))	Mouse
2021-07-14 21:14:37,398	964	1524	Click	Button.left	Mouse
2021-07-14 21:14:37,674	964	1524	Click	Button.right	Mouse
2021-07-14 21:14:38,106	752	1525	Click	Button.left	Mouse
2021-07-14 21:14:38,916	360	1511	Scroll	((0, -1))	Mouse
2021-07-14 21:14:39,613	267	1498	Click	Button.middle	Mouse
2021-07-14 21:14:40,434	36	1494	Click	Button.left	Mouse
