2021-07-14 21:15:08,107	h	Pressed
2021-07-14 21:15:08,194	'h'	Released
2021-07-14 21:15:08,226	e	Pressed
2021-07-14 21:15:08,307	'e'	Released
2021-07-14 21:15:08,747	l	Pressed
2021-07-14 21:15:08,842	'l'	Released
2021-07-14 21:15:09,242	l	Pressed
2021-07-14 21:15:09,758	l	Pressed
2021-07-14 21:15:09,789	l	Pressed
2021-07-14 21:15:09,820	l	Pressed
2021-07-14 21:15:09,850	l	Pressed
2021-07-14 21:15:09,881	l	Pressed
2021-07-14 21:15:09,911	l	Pressed
2021-07-14 21:15:09,922	'l'	Released
2021-07-14 21:15:10,378	Key.shift	Pressed
2021-07-14 21:15:10,770	A	Pressed
2021-07-14 21:15:10,867	S	Pressed
2021-07-14 21:15:10,970	D	Pressed
2021-07-14 21:15:11,027	'A'	Released
2021-07-14 21:15:11,034	'S'	Released
2021-07-14 21:15:11,107	'D'	Released
2021-07-14 21:15:11,114	Key.shift	Released
