2021-07-14 21:18:33,994	1466	1573	Click	Button.left	Mouse
2021-07-14 21:18:34,464	1529	1547	Click	Button.middle	Mouse
2021-07-14 21:18:35,138	1685	1528	Click	Button.right	Mouse
2021-07-14 21:18:35,834	1557	1569	Click	Button.left	Mouse
2021-07-14 21:18:36,233	1553	1567	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,257	1553	1567	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,273	1553	1567	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,300	1553	1567	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,387	1553	1567	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,404	1553	1567	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,414	1553	1567	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,426	1553	1567	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,436	1553	1567	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,461	1553	1567	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,595	1553	1557	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,611	1553	1557	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,628	1553	1557	Scroll	(0, 1)	Mouse
2021-07-14 21:18:36,677	1553	1557	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,690	1553	1558	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,703	1553	1558	Scroll	(0, -1)	Mouse
2021-07-14 21:18:36,726	1553	1559	Scroll	(0, -1)	Mouse
2021-07-14 21:18:37,670	47	1498	Click	Button.left	Mouse
